Provincia,2019,2020,2021,2022
Pichincha,,-0.08,0.06,0.1
Guayas,,-0.09,0.18,0.35
Azuay,,-0.14,0.3,0.09
Manabi,,-0.07,0.3,0.19
El oro,,-0.48,1.35,0.17
Tungurahua,,-0.17,0.33,0.07
Los rios,,-0.01,0.17,0.07
Santo domingo de los tsachilas,,-0.12,0.65,-0.08
Loja,,-0.07,0.22,1.16
Imbabura,,-0.2,0.18,-0.13
Chimborazo,,-0.13,0.3,0.05
Cañar,,0.75,0.4,0.12
Santa elena,,-0.11,0.74,0.27
Sucumbios,,0.1,0.14,-0.88
Esmeraldas,,-0.77,0.83,-0.16
Morona santiago,,0.34,0.34,0.13
Cotopaxi,,0.54,0.14,-0.06
Zamora chinchipe,,0.09,-0.03,0.14
Orellana,,0.49,0.53,0.04
Galapagos,,-0.21,-0.31,0.66
Pastaza,,-0.59,-0.6,-1.0
Bolivar,,-0.33,-0.35,-0.5
Carchi,,-0.09,0.29,1.15
Napo,,,inf,-1.0
