Año,Region,Provincia,Longitude,Latitude,Empresas,Ventas_Mill_(Usd)
2022,Sierra,Azuay,-79.00453,-2.90055,278,478.916
2022,Sierra,Bolivar,-79.00098,-1.59263,6,0.137
2022,Sierra,Carchi,-77.71727,0.81187,6,0.857
2022,Sierra,Cañar,-78.8486,-2.73969,31,75.328
2022,Sierra,Chimborazo,-78.64712,-1.67098,44,45.299
2022,Sierra,Cotopaxi,-78.61554,-0.93521,23,12.127
2022,Sierra,Imbabura,-78.12233,0.35171,32,39.733
2022,Sierra,Loja,-79.20422,-3.99313,70,147.187
2022,Sierra,Pichincha,-78.52495,-0.22985,1685,6362.051
2022,Sierra,Tungurahua,-78.61675,-1.24908,110,110.788
